,name,artist(s),album,added by,added at
0,Wat's Wrong (feat. Zacari & Kendrick Lamar),"Isaiah Rashad, Zacari, Kendrick Lamar",The Sun's Tirade,22mzyvjlsi55yjh53wlsnttbi,2016-12-07T00:45:56Z
1,Let It Happen,Tame Impala,Currents,22mzyvjlsi55yjh53wlsnttbi,2016-12-07T00:46:19Z
2,"New Person, Same Old Mistakes",Tame Impala,Currents,22mzyvjlsi55yjh53wlsnttbi,2016-12-07T00:46:30Z
3,Sober,Childish Gambino,Kauai,22mzyvjlsi55yjh53wlsnttbi,2016-12-07T00:53:05Z
4,Waves,Kanye West,The Life Of Pablo,22mzyvjlsi55yjh53wlsnttbi,2016-12-07T00:53:12Z
5,Mean Streets,Tennis,Ritual In Repeat (Deluxe),22mzyvjlsi55yjh53wlsnttbi,2016-12-07T00:53:38Z
6,Nikes,Frank Ocean,Blonde,22mzyvjlsi55yjh53wlsnttbi,2016-12-07T01:00:43Z
7,Ultralight Beam,Kanye West,The Life Of Pablo,vaishnavpuri,2016-12-07T01:22:30Z
8,Pyramids,Frank Ocean,channel ORANGE,vaishnavpuri,2016-12-07T01:27:49Z
9,Redbone,Childish Gambino,Redbone,vaishnavpuri,2016-12-07T01:27:54Z
10,Me and Your Mama,Childish Gambino,Me and Your Mama,vaishnavpuri,2016-12-07T01:29:01Z
11,The Way U Do,Shlohmo,Vacation - Single,vaishnavpuri,2016-12-07T01:29:31Z
12,Same Ol’ Mistakes,Rihanna,ANTI,vaishnavpuri,2016-12-07T01:30:53Z
13,Nancy From Now On,Father John Misty,Fear Fun,vaishnavpuri,2016-12-07T01:33:11Z
14,Intro,The xx,xx,vaishnavpuri,2016-12-07T01:34:52Z
15,Feel No Ways,Drake,Views,gerardtomen,2016-12-07T01:35:02Z
16,Two Weeks,Grizzly Bear,Veckatimest,vaishnavpuri,2016-12-07T01:38:15Z
17,Molasses,Hiatus Kaiyote,Choose Your Weapon,22mzyvjlsi55yjh53wlsnttbi,2016-12-07T01:38:20Z
18,Laputa (Taylor McFerrin Remix feat. Anderson .Paak),"Hiatus Kaiyote, Taylor McFerrin","Recalibrations, Vol. 1",22mzyvjlsi55yjh53wlsnttbi,2016-12-07T01:38:24Z
19,Some Minds (feat. Andrew Wyatt),"Flume, Andrew Wyatt",Some Minds (feat. Andrew Wyatt),vaishnavpuri,2016-12-07T01:39:05Z
20,The Bells,Lowell,We Loved Her Dearly,vaishnavpuri,2016-12-07T01:43:03Z
21,Penthouse Floor (feat. Chance the Rapper),"John Legend, Chance the Rapper",Penthouse Floor (feat. Chance the Rapper),22mzyvjlsi55yjh53wlsnttbi,2016-12-07T01:46:49Z
22,Don't,Bryson Tiller,T R A P S O U L,vaishnavpuri,2016-12-07T01:48:42Z
23,GLOWED UP,"KAYTRANADA, Anderson .Paak",99.9%,22mzyvjlsi55yjh53wlsnttbi,2016-12-07T01:51:26Z
24,Studio,"ScHoolboy Q, BJ The Chicago Kid",Oxymoron (Deluxe),vaishnavpuri,2016-12-07T01:51:38Z
25,L$D,A$AP Rocky,AT.LONG.LAST.A$AP,vaishnavpuri,2016-12-07T01:53:08Z
26,With You,"Drake, PARTYNEXTDOOR",Views,vaishnavpuri,2016-12-07T01:58:38Z
27,Pound Cake / Paris Morton Music 2,"Drake, JAY-Z",Nothing Was The Same,vaishnavpuri,2016-12-07T01:59:32Z
28,Crew Love,"Drake, The Weeknd",Take Care (Deluxe),vaishnavpuri,2016-12-07T01:59:42Z
29,Buried Alive Interlude,"Drake, Kendrick Lamar",Take Care (Deluxe),vaishnavpuri,2016-12-07T01:59:48Z
30,We'll Be Fine,"Drake, Birdman",Take Care (Deluxe),vaishnavpuri,2016-12-07T01:59:54Z
31,Marvins Room,Drake,Marvins Room,vaishnavpuri,2016-12-07T02:01:29Z
32,"Another Brick in the Wall, Pt. 2",Pink Floyd,The Wall,mochimaster555,2016-12-07T02:04:09Z
33,Comfortably Numb,Pink Floyd,The Wall,mochimaster555,2016-12-07T02:04:15Z
34,Wish You Were Here,Pink Floyd,Wish You Were Here,mochimaster555,2016-12-07T02:04:21Z
35,sdp interlude,Travis Scott,Birds In The Trap Sing McKnight,22mzyvjlsi55yjh53wlsnttbi,2016-12-07T02:04:29Z
36,Time,Pink Floyd,The Dark Side of the Moon,mochimaster555,2016-12-07T02:04:42Z
37,Us and Them,Pink Floyd,The Dark Side of the Moon,vaishnavpuri,2016-12-07T02:07:04Z
38,Am I Wrong (feat. ScHoolboy Q),"Anderson .Paak, ScHoolboy Q",Malibu,mochimaster555,2016-12-07T02:07:50Z
39,"Bitch, Don’t Kill My Vibe",Kendrick Lamar,"good kid, m.A.A.d city",vaishnavpuri,2016-12-07T02:08:23Z
40,Feel It All Around,Washed Out,Life Of Leisure,mochimaster555,2016-12-07T02:08:49Z
41,Walking On A Dream,Empire of the Sun,Walking On A Dream,mochimaster555,2016-12-07T02:09:19Z
42,Ignorance Is Bliss,Kendrick Lamar,Overly Dedicated,vaishnavpuri,2016-12-07T02:09:21Z
43,More Like You,Brave Shores,Brave Shores,vaishnavpuri,2016-12-07T02:15:58Z
44,Pink + White,Frank Ocean,Blonde,22mzyvjlsi55yjh53wlsnttbi,2016-12-07T02:16:19Z
45,Mykonos,Fleet Foxes,Sun Giant,vaishnavpuri,2016-12-07T02:18:29Z
46,Pink Matter,"Frank Ocean, André 3000",channel ORANGE (Explicit Version),vaishnavpuri,2016-12-07T02:25:25Z
47,Can I Kick It?,A Tribe Called Quest,People's Instinctive Travels and the Paths of Rhythm (25th Anniversary Edition),vaishnavpuri,2016-12-07T02:25:44Z
48,"God Is Fair, Sexy Nasty (feat. Kendrick Lamar)","Mac Miller, Kendrick Lamar",The Divine Feminine,asefayan,2016-12-07T02:31:17Z
49,We (feat. CeeLo Green),"Mac Miller, CeeLo Green",The Divine Feminine,asefayan,2016-12-07T02:32:36Z
50,My Favorite Part,"Mac Miller, Ariana Grande",The Divine Feminine,asefayan,2016-12-07T02:32:39Z
51,Planet God Damn (feat. Njomza),"Mac Miller, Njomza",The Divine Feminine,asefayan,2016-12-07T02:32:47Z
52,Weekend (feat. Miguel),"Mac Miller, Miguel",GO:OD AM,asefayan,2016-12-07T02:32:59Z
53,Runaway,"Kanye West, Pusha T",My Beautiful Dark Twisted Fantasy,asefayan,2016-12-07T02:40:44Z
54,Love Lockdown,Kanye West,808s & Heartbreak,asefayan,2016-12-07T02:40:53Z
55,Blue Boss,Sampa the Great,Blue Boss,gerardtomen,2016-12-08T02:38:57Z
56,The Good Times Are Killing Me,Modest Mouse,Good News For People Who Love Bad News,themightyhokie,2016-12-08T17:41:33Z
57,Recognize (feat. Drake),"PARTYNEXTDOOR, Drake",PARTYNEXTDOOR TWO,gerardtomen,2016-12-08T18:15:00Z
58,Don't Wanna Fight,Alabama Shakes,Sound & Color,asefayan,2016-12-12T17:34:46Z
59,Fragments of Time (feat. Todd Edwards),"Daft Punk, Todd Edwards",Random Access Memories,mochimaster555,2016-12-13T04:56:43Z
60,Beyond,Daft Punk,Random Access Memories,mochimaster555,2016-12-13T04:56:54Z
61,Life Round Here,"James Blake, Chance the Rapper",Life Round Here,mochimaster555,2016-12-13T04:59:01Z
62,On Melancholy Hill,Gorillaz,Plastic Beach,mochimaster555,2016-12-14T20:12:35Z
63,Baptized In Fire,"Kid Cudi, Travis Scott","Passion, Pain & Demon Slayin'",mochimaster555,2016-12-17T05:47:09Z
64,Fly - FKJ Remix,"June Marieezy, FKJ",Fly (The Remixes),22mzyvjlsi55yjh53wlsnttbi,2016-12-17T18:35:34Z
65,Come and Get Your Love - Re-Record,Redbone,Come And Get Your Love,vaishnavpuri,2016-12-18T20:22:08Z
66,Brain Damage,Pink Floyd,The Dark Side of the Moon,vaishnavpuri,2016-12-19T07:45:14Z
67,High By The Beach,Lana Del Rey,Honeymoon,vaishnavpuri,2016-12-23T22:52:35Z
68,Headlines,Drake,Take Care (Deluxe),asefayan,2017-01-02T20:10:47Z
69,White Noise,Ella Vos,White Noise,vaishnavpuri,2017-01-10T02:28:15Z
70,Grown Up Calls,Toro y Moi,Anything In Return,22mzyvjlsi55yjh53wlsnttbi,2017-01-16T20:32:38Z
71,AA,Isaiah Rashad,The Sun's Tirade,vaishnavpuri,2017-01-17T19:22:14Z
72,Caffeine,Foreign Air,Caffeine,vaishnavpuri,2017-01-20T02:21:05Z
73,Space Song,Beach House,Depression Cherry,mochimaster555,2017-01-25T21:20:35Z
74,Zebra,Beach House,Teen Dream,mochimaster555,2017-01-25T21:23:33Z
75,Only Wanna Give It To You (feat. J. Cole),"Elle Varner, J. Cole",Perfectly Imperfect,22mzyvjlsi55yjh53wlsnttbi,2017-01-26T05:37:16Z
76,Here Comes The Sun - Remastered 2009,The Beatles,Abbey Road (Remastered),vaishnavpuri,2017-01-26T21:00:02Z
77,Put Your Records On,Corinne Bailey Rae,Corinne Bailey Rae,vaishnavpuri,2017-01-26T21:01:33Z
78,Gooey,Glass Animals,ZABA,vaishnavpuri,2017-02-07T03:31:37Z
79,Life Itself,Glass Animals,How To Be A Human Being,vaishnavpuri,2017-02-07T03:38:53Z
